"time","cases","births","pop","city","lat","lon"
1944,1,106.0744106,118625.5302,"Birkenhead",53.388,-3.045
1944.038462,0,104.2864044,118457.7946,"Birkenhead",53.388,-3.045
1944.076923,0,102.6310783,118319.3067,"Birkenhead",53.388,-3.045
1944.115385,0,101.4704608,118233.3055,"Birkenhead",53.388,-3.045
1944.153846,1,100.3898619,118164.8399,"Birkenhead",53.388,-3.045
1944.192308,1,99.05299087,118096.3722,"Birkenhead",53.388,-3.045
1944.230769,2,97.55934929,118049.687,"Birkenhead",53.388,-3.045
1944.269231,2,96.23817599,118040.7363,"Birkenhead",53.388,-3.045
1944.307692,3,95.31522879,118062.8317,"Birkenhead",53.388,-3.045
1944.346154,2,94.69290276,118094.6323,"Birkenhead",53.388,-3.045
1944.384615,6,94.13861867,118141.2918,"Birkenhead",53.388,-3.045
1944.423077,9,93.48859772,118222.7562,"Birkenhead",53.388,-3.045
1944.461538,3,92.94242461,118326.7232,"Birkenhead",53.388,-3.045
1944.5,3,92.40617402,118488.3334,"Birkenhead",53.388,-3.045
1944.538462,3,92.01141024,118680.4303,"Birkenhead",53.388,-3.045
1944.576923,13,91.80480548,118857.5653,"Birkenhead",53.388,-3.045
1944.615385,8,91.70643405,119002.5917,"Birkenhead",53.388,-3.045
1944.653846,9,91.66305093,119159.3039,"Birkenhead",53.388,-3.045
1944.692308,17,91.67625582,119383.3816,"Birkenhead",53.388,-3.045
1944.730769,21,91.81267203,119688.9178,"Birkenhead",53.388,-3.045
1944.769231,58,92.06401934,120018.7281,"Birkenhead",53.388,-3.045
1944.807692,77,92.35305889,120301.0638,"Birkenhead",53.388,-3.045
1944.846154,136,92.61506415,120522.2758,"Birkenhead",53.388,-3.045
1944.884615,141,92.92074716,120752.6409,"Birkenhead",53.388,-3.045
1944.923077,188,93.38406756,121071.2682,"Birkenhead",53.388,-3.045
1944.961538,192,93.91178175,121403.168,"Birkenhead",53.388,-3.045
1945,117,94.66030755,121836.2071,"Birkenhead",53.388,-3.045
1945.038462,57,95.49218315,122285.9205,"Birkenhead",53.388,-3.045
1945.076923,43,96.21947824,122657.5694,"Birkenhead",53.388,-3.045
1945.115385,18,96.79590634,122942.058,"Birkenhead",53.388,-3.045
1945.153846,12,97.40083186,123231.4787,"Birkenhead",53.388,-3.045
1945.192308,20,98.24291218,123623.2501,"Birkenhead",53.388,-3.045
1945.230769,11,99.35217151,124121.5902,"Birkenhead",53.388,-3.045
1945.269231,14,100.5119149,124626.6896,"Birkenhead",53.388,-3.045
1945.307692,7,101.4751569,125034.6835,"Birkenhead",53.388,-3.045
1945.346154,6,102.2142257,125342.0647,"Birkenhead",53.388,-3.045
1945.384615,13,102.9681367,125650.3166,"Birkenhead",53.388,-3.045
1945.423077,16,103.9896997,126061.3653,"Birkenhead",53.388,-3.045
1945.461538,9,105.0280016,126471.6448,"Birkenhead",53.388,-3.045
1945.5,6,106.344115,126981.5059,"Birkenhead",53.388,-3.045
1945.538462,1,107.6722895,127486.5122,"Birkenhead",53.388,-3.045
1945.576923,1,108.7395382,127885.1402,"Birkenhead",53.388,-3.045
1945.615385,0,109.5404225,128180.6214,"Birkenhead",53.388,-3.045
1945.653846,0,110.3391405,128471.7857,"Birkenhead",53.388,-3.045
1945.692308,0,111.3988355,128853.5566,"Birkenhead",53.388,-3.045
1945.730769,2,112.7087563,129317.827,"Birkenhead",53.388,-3.045
1945.769231,1,113.9978041,129767.2876,"Birkenhead",53.388,-3.045
1945.807692,1,115.0074041,130113.515,"Birkenhead",53.388,-3.045
1945.846154,0,115.7506598,130365.3276,"Birkenhead",53.388,-3.045
1945.884615,1,116.4781628,130608.7431,"Birkenhead",53.388,-3.045
1945.923077,1,117.4237448,130921.046,"Birkenhead",53.388,-3.045
1945.961538,1,118.3371352,131217.7893,"Birkenhead",53.388,-3.045
1946,1,119.4259801,131564.2948,"Birkenhead",53.388,-3.045
1946.038462,1,120.4585285,131886.1361,"Birkenhead",53.388,-3.045
1946.076923,0,121.2391003,132125.0309,"Birkenhead",53.388,-3.045
1946.115385,0,121.8002876,132294.9324,"Birkenhead",53.388,-3.045
1946.153846,3,122.3367803,132455.9941,"Birkenhead",53.388,-3.045
1946.192308,5,123.0193545,132659.7666,"Birkenhead",53.388,-3.045
1946.230769,8,123.8150872,132896.733,"Birkenhead",53.388,-3.045
1946.269231,8,124.5531396,133117.5923,"Birkenhead",53.388,-3.045
1946.307692,10,125.0972808,133282.7074,"Birkenhead",53.388,-3.045
1946.346154,4,125.4805084,133400.9698,"Birkenhead",53.388,-3.045
1946.384615,10,125.8389133,133514.2443,"Birkenhead",53.388,-3.045
1946.423077,23,126.2832702,133659.2512,"Birkenhead",53.388,-3.045
1946.461538,47,126.6875091,133797.9673,"Birkenhead",53.388,-3.045
1946.5,37,127.1341069,133963.83,"Birkenhead",53.388,-3.045
1946.538462,36,127.5218084,134123.8023,"Birkenhead",53.388,-3.045
1946.576923,37,127.7846964,134248.3815,"Birkenhead",53.388,-3.045
1946.615385,24,127.956518,134340.6524,"Birkenhead",53.388,-3.045
1946.653846,13,128.102812,134432.2434,"Birkenhead",53.388,-3.045
1946.692308,11,128.2638311,134554.2308,"Birkenhead",53.388,-3.045
1946.730769,11,128.4053619,134707.94,"Birkenhead",53.388,-3.045
1946.769231,15,128.4869544,134864.5163,"Birkenhead",53.388,-3.045
1946.807692,35,128.5041213,134993.3845,"Birkenhead",53.388,-3.045
